team_name,mu,sigma,rank
Elysium,11.279670005873614,3.5737202473618823,0.5585092637879665
Cytik,17.344258158428666,5.5978377874744165,0.5507447960054179
Rascal Jester,11.989544392630854,3.8157239553179267,0.5423725266770738
levelONE Academy,14.419003031498452,4.625963118742735,0.5411136752702461
FreeSlot,16.572756340798072,5.344850984866549,0.5382033861984254
Freeman Lord,14.489969889121804,4.651562178507738,0.5352833535985919
no u,16.629305355863096,5.368301426476997,0.5244010764321061
finshhh,15.474204485722597,4.983498249380129,0.5237097375822106
CyberMP5,13.664686299680449,4.382070869982289,0.5184736897335842
Descend,16.843368518490138,5.4421167868914635,0.5170181578157482
Radical,16.44463297342957,5.310399520261019,0.5134344126465145
Vanguard,10.084460917845824,3.1935152147903705,0.5039152734747123
Dank Deaglez,12.892318686258436,4.130637216281222,0.5004070374147691
SITMENNÄÄ,15.487188425649988,4.99894278289886,0.490360076953408
Connect,15.655566579004054,5.056764845683598,0.48527204195326057
Nova Academy,13.687362370932526,4.401306111631321,0.4834440360385628
OMNIPOTENCE,16.611519503562818,5.380021975065032,0.47145357836772206
Penguins,14.11534129960075,4.548638904173322,0.46942458708078405
word_exe,13.906549700563437,4.479596592722859,0.4677599223948601
puLse,9.73161908118752,3.088060809816912,0.4674366517367847
Sri Lanka,14.12902902534226,4.559247308047614,0.4512871011994175
Wasted Potential,13.527949468219074,4.362034166272925,0.44184696940029866
PerilousRAGE,14.433188886721684,4.665855894483332,0.43562120327168685
mimimishki,16.278851179349207,5.2836774384618455,0.42781886396367064
Project Skyline,11.610385929612121,3.729478871828853,0.4219493141255626
baldkrew,11.530460836219174,3.7041108323005076,0.4181283393176507
taotoma,16.463176978664308,5.3489875071417625,0.41621445723902184
illusion,16.729814629353708,5.442624609820529,0.4019407998921203
Naniiiiiiiii,17.107890521594776,5.569472267771159,0.39947371828129974
Relapse,13.280132621243123,4.293708554853244,0.39900695668339026
Spectacle.A,16.745273456215205,5.448807139908865,0.39885203648860923
Project_Polygon,14.049775228847594,4.550800748292181,0.39737298397105114
EleMeNade,16.790792732749143,5.467236585324066,0.3890829767769439
MER IL ET FOU,16.275628983609266,5.2998204461390275,0.37616764519218293
chupakabras,17.014024250831127,5.548328436676499,0.36903894080163013
CR@zYReB3L,13.549048041480606,4.394321529329612,0.36608345349177185
Temporary Kings,17.111182657593854,5.582758329302616,0.3629076696860061
8 Minded,15.262974014005556,4.967061859271846,0.3617884361900181
a-game raise,11.244753596192195,3.6287407724702234,0.35853127878152513
